hostname,SCSI Bus Number (HBA),LUN Name,Hitachi Product,HDS Product,Serial Number,Port,LUN 0-255,LDEV,Nickname,LDEV type,RAID level,PG,Pool ID,CLPR,Max LBA,Size MB,Size MiB,Size GB,Size GiB,SizeTB,Size TiB,Vendor,Product,Product Revision,SCSI_IOCTL_PROBE_HOST
cb23,1,/dev/sday,HM700,HUS VM,210030,2B,14,00:3B,,Internal,RAID-1,02-28,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 03 device 01 irq 17 port 1 Logical L
cb23,2,/dev/sdcj,HM700,HUS VM,210030,1A,15,00:3C,,Internal,RAID-1,02-29,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 2e device 00 irq 16 port 0 Logical L
cb23,3,/dev/sddt,HM700,HUS VM,210030,1B,15,00:3D,,Internal,RAID-1,02-30,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 2e device 01 irq 17 port 1 Logical L
cb23,0,/dev/sdp,HM700,HUS VM,210030,2A,15,00:3E,,Internal,RAID-1,02-31,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 03 device 00 irq 16 port 0 Logical L
cb23,1,/dev/sdaz,HM700,HUS VM,210030,2B,15,00:3F,,Internal,RAID-1,02-32,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 03 device 01 irq 17 port 1 Logical L
cb23,2,/dev/sdck,HM700,HUS VM,210030,1A,16,00:40,,Internal,RAID-1,03-01,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 2e device 00 irq 16 port 0 Logical L
cb23,3,/dev/sddu,HM700,HUS VM,210030,1B,16,00:41,,Internal,RAID-1,03-02,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 2e device 01 irq 17 port 1 Logical L
cb23,0,/dev/sdq,HM700,HUS VM,210030,2A,16,00:42,,Internal,RAID-1,03-03,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 03 device 00 irq 16 port 0 Logical L
cb23,1,/dev/sdba,HM700,HUS VM,210030,2B,16,00:43,,Internal,RAID-1,03-04,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 03 device 01 irq 17 port 1 Logical L
cb23,2,/dev/sdcl,HM700,HUS VM,210030,1A,17,00:44,,Internal,RAID-1,03-05,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 2e device 00 irq 16 port 0 Logical L
